idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
0,1,1,8,0.00461,0.00021421470042781563,10,13,2,3.2688020000000004
1,7,1,8,0.00843,0.00028911967574322744,10,29,5,7.665926000000001
2,44,1,8,0.00472,0.0002167433638588683,10,14,2,3.337418
3,50,1,8,0.00608,0.0002458270536564336,10,13,2,4.0110410000000005
4,51,1,8,0.00457,0.00021328761313320368,10,13,2,3.2688020000000004
5,53,1,8,0.00754,0.0002735548067980587,10,19,6,7.45836
6,54,1,10,0.00301,0.00017323307737551443,12,43,13,1.4436179999999998
7,55,1,8,0.00436,0.00020835147732469053,10,13,2,3.2688020000000004
8,56,1,8,0.00445,0.00021048139590990042,10,13,2,3.2526020000000004
9,57,1,8,0.004,0.0001996005972034754,10,12,1,2.27026
10,58,1,8,0.00362,0.00018991923729092566,10,12,1,2.276902
11,59,1,8,0.00521,0.00022766000371337282,10,16,3,4.40166
12,60,1,8,0.00623,0.0002488222058516909,10,12,4,5.013544
13,61,1,8,0.00748,0.0002724724544103203,10,30,4,6.882133
14,62,1,8,0.00426,0.00020595860795189375,10,13,2,3.2688020000000004
15,63,1,8,0.00472,0.00021674336385886826,10,17,2,4.79474
16,64,1,8,0.0051,0.00022525631490387578,10,14,3,4.2326760000000005
17,65,1,8,0.00523,0.00022809425961631017,10,16,3,4.3574340000000005
18,66,1,8,0.00447,0.00021095173857155113,10,15,2,3.423044
19,69,1,8,0.00752,0.0002731945137670658,10,20,6,7.504296
20,70,1,8,0.00481,0.0002187901224716896,10,14,2,3.337418
21,71,1,8,0.00368,0.00019148091980515048,10,15,1,2.4864759999999997
22,72,1,8,0.00493,0.0002214891455002158,10,14,3,4.241505
23,73,1,8,0.004,0.0001996005972034754,10,15,2,3.412676
24,74,1,8,0.00598,0.00024380933212226371,10,17,4,5.495944
25,75,1,8,0.00533,0.00023025299382290694,10,15,3,4.3374179999999996
26,76,1,8,0.00867,0.00029317088957075006,10,25,6,8.246139
27,77,1,8,0.00828,0.00028655756341854164,10,26,5,7.474819999999999
28,79,1,8,0.00529,0.00022939199028486603,10,17,2,3.6066889999999994
29,80,1,8,0.00528,0.00022917622306297864,10,13,3,4.131579
30,82,1,8,0.00722,0.0002677301492068608,10,19,5,6.552085999999999
31,83,1,8,0.00847,0.00028979894898758396,10,29,5,7.665926000000001
32,84,1,8,0.00874,0.0002943416218782244,10,27,6,8.393738999999998
33,86,1,10,0.00303,0.00017380590635801435,12,40,15,1.5845759999999998
36,90,1,10,0.00332,0.00018190686325993583,12,47,11,1.307844
37,92,1,10,0.00263,0.00016196015964098424,12,42,11,1.271718
41,99,1,10,0.00301,0.00017323307737551443,12,43,13,1.4436179999999998
43,101,1,10,0.00295,0.00017150297120659838,12,44,13,1.448802
45,103,1,10,0.00276,0.0001659038855512203,12,43,13,1.4436179999999998
53,115,1,10,0.00256,0.0001597958677412951,12,43,11,1.2798180000000001
62,128,1,10,0.00308,0.0001752296865671754,12,42,15,1.5978599999999998
63,133,1,10,0.00293,0.0001709223307365993,12,43,13,1.4436179999999998
71,143,1,10,0.00323,0.00017943241892124626,12,39,13,1.4119469999999998
110,191,1,10,0.00354,0.0001878164975457894,12,41,13,1.42596
123,209,1,10,0.00325,0.00017998527425039376,12,38,13,1.4074919999999997
131,221,1,10,0.00419,0.00020426663028640403,12,40,16,1.6693919999999998
143,240,1,10,0.00265,0.00016257318136886226,12,43,11,1.2798180000000001
145,243,1,10,0.00281,0.00016739569651933145,12,43,11,1.2798180000000001
149,247,1,10,0.00264,0.00016226696307527623,12,43,11,1.2798180000000001
157,256,1,10,0.00294,0.00017121290003551534,12,43,11,1.2798180000000001
166,266,1,10,0.00282,0.00016769244827234187,12,43,11,1.2798180000000001
179,284,1,10,0.00249,0.00015760154625660822,12,47,10,1.2274019999999999
180,285,1,10,0.00276,0.0001659038855512203,12,42,11,1.271718
