idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d
0,0,1,10,0.002073,4.548301594776605e-05,12,33,7
1,1,1,10,0.00211,0.00014510578746864498,12,36,7
2,1,1,10,0.00222,0.00014883191025238872,12,30,8
3,1,1,10,0.001811,4.251731514009424e-05,12,30,5
4,1,1,10,0.0022,0.00014816146434952368,12,34,8
5,1,1,10,0.0021,0.0001447622518514257,12,28,7
6,1,1,10,0.002314487275373451,0.00015276929834210682,12,32,8
7,1,1,10,0.001737,4.1641140293999694e-05,12,32,4
8,1,1,10,0.00219,0.00014782509097773362,12,31,8
9,1,1,10,0.001811,4.251731514009425e-05,12,33,5
10,1,1,10,0.00183,0.000135154332771601,12,30,6
11,1,1,10,0.00214,0.00014613150770513333,12,32,9
12,1,1,10,0.00225,0.00014983190413258104,12,38,8
13,1,1,10,0.00228,0.00015082520837855597,12,40,8
14,1,1,10,0.00221,0.00014849706904109298,12,29,8
15,1,1,10,0.00189,0.00013734798012594306,12,33,5
16,1,1,10,0.0022,0.00014816146434952368,12,30,7
17,1,1,10,0.00222,0.00014883191025238872,12,33,7
18,1,1,10,0.0023230571025695647,0.00015333429990007356,12,30,9
19,1,1,10,0.002597196388876287,0.00017140552012715924,12,40,11
20,1,1,10,0.00204,0.0001426835224750071,12,34,7
21,1,1,10,0.00223,0.00014916599312489107,12,31,11
22,1,1,10,0.00221,0.000148497069041093,12,36,8
23,1,1,10,0.00232392936878425,0.00015339180741253455,12,34,4
24,1,1,10,0.00187,0.00013662070725983127,12,31,8
25,1,1,10,0.002403240701872219,0.00015862050318206692,12,36,8
26,1,1,10,0.002,0.00014128057050421343,12,34,6
27,1,1,10,0.0023614820620172627,0.00015586756591238885,12,37,8
28,1,1,10,0.00186,0.00013625560412656998,12,34,7
29,1,1,10,0.00225,0.00014983190413258104,12,34,7
30,1,1,10,0.00216,0.0001468113058847831,12,33,7
31,1,1,10,0.00217,0.00014715001709573571,12,36,8
32,1,1,10,0.00205,0.00014303209283862068,12,31,8
33,1,1,10,0.00217,0.00014715001709573571,12,37,6
34,1,1,10,0.00203,0.00014233409145364962,12,37,6
35,1,1,10,0.00265454924826411,0.0001751855852955655,12,36,10
36,1,1,10,0.00216,0.0001468113058847831,12,30,9
37,1,1,10,0.0021,0.0001447622518514257,12,37,7
38,1,1,10,0.00224,0.00014949932274252955,12,32,8
39,1,1,10,0.002558544869503039,0.00016885791781749463,12,33,10
40,1,1,10,0.00211,0.00014510578746864498,12,33,5
41,1,1,10,0.0024425103460045225,0.00016120924860499387,12,32,13
42,1,1,10,0.00206,0.0001433798088215205,12,36,8
43,1,1,10,0.002489401021850201,0.00016430025684441676,12,34,6
44,1,1,10,0.00211,0.00014510578746864498,12,35,4
45,1,1,10,0.0025792645154023765,0.00017022360516821608,12,35,10
46,1,1,10,0.0025294643941988003,0.00016694109807542944,12,41,13
47,1,1,10,0.002607962827988338,0.00017211514106181924,12,34,9
48,1,1,10,0.00207,0.00014372667662468139,12,29,7
49,1,1,10,0.00209,0.00014441789212308722,12,29,8
50,1,1,10,0.0023365439555954617,0.00015422346706588195,12,46,10
51,2,1,10,0.00178,0.00013329851343858582,12,28,5
52,2,1,10,0.00201,0.00014163262194140153,12,37,4
53,2,1,10,0.0021787895375170387,0.00015275518430186364,12,30,9
54,2,1,10,0.00178,0.00013329851343858585,12,31,6
55,2,1,10,0.0023291836383454766,0.0001632870855374945,12,32,10
56,2,1,10,0.00195,0.00013950688019483557,12,35,4
57,2,1,10,0.0023934727757209894,0.00016778868653213576,12,32,10
58,2,1,10,0.0020577591712197547,0.00014427843773996655,12,38,6
59,2,1,10,0.002163717757407802,0.0001516996401137685,12,31,5
60,2,1,10,0.00169,0.00012989075300450434,12,32,4
61,2,1,10,0.002031523642732049,0.0001424408139445059,12,32,4
62,2,1,10,0.0019,0.00013771016535062475,12,27,9
63,2,1,10,0.00199,0.00014092763251391142,12,32,6
64,2,1,10,0.00154,0.00012400176516637836,12,38,3
65,2,1,10,0.00154,0.00012400176516637839,12,29,5
66,2,1,10,0.00158,0.00012559933818272103,12,38,3
67,2,1,10,0.00184,0.00013552242494611964,12,30,4
68,2,1,10,0.00192,0.0001384316713518851,12,31,3
69,2,1,10,0.00171,0.0001306557679909199,12,35,4
70,2,1,10,0.00162,0.0001271767185422607,12,32,4
71,2,1,10,0.00201,0.00014163262194140153,12,34,4
72,2,1,10,0.0023757416878298827,0.0001665471637881316,12,33,7
73,2,1,10,0.002088219561371024,0.0001464119245164194,12,33,6
74,2,1,10,0.0020605789922449147,0.00014447594453075903,12,32,9
75,2,1,10,0.00168,0.00012950653929218092,12,31,4
76,2,1,10,0.0021577151603405574,0.00015127924696241605,12,36,5
77,2,1,10,0.00197,0.0001402190700792019,12,31,6
78,2,1,10,0.00163,4.034036102149716e-05,12,30,3
79,2,1,10,0.0018,0.00013404394681520223,12,33,3
80,2,1,10,0.00183,0.00013515433277160098,12,34,5
81,2,1,10,0.0022059223037218145,0.00015465537324913742,12,33,5
82,2,1,10,0.0018,0.00013404394681520225,12,30,7
