idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
0,0,1,10,0.00198,0.00014057380129290126,12,31,8,10.637
32,50,1,10,0.00217,0.00014715001709573571,12,33,8,10.736
33,51,1,10,0.00137,0.0001169673792716505,12,17,4,5.6803
34,56,1,10,0.00159,0.0001259955465434294,12,22,5,6.9917
35,58,1,10,0.00129,0.00011350545288609861,12,23,4,6.1555
36,61,1,10,0.00162,0.0001271767185422607,12,16,3,5.0199
37,62,1,10,0.00132,0.00011481597374528627,12,21,3,5.0736
38,65,1,10,0.00237,0.0001537662753684123,12,23,9,10.6893
39,66,1,10,0.00191,0.00013807139326122686,12,26,7,9.1393
40,68,1,10,0.00151,0.00012278986022264924,12,19,4,6.205299999999999
41,69,1,10,0.00104,0.00010192785631454694,12,17,2,3.8602999999999996
42,70,1,10,0.00139,0.00011781688252613917,12,24,3,5.2787999999999995
43,73,1,10,0.00136,0.0001165402926733847,12,20,2,4.0817
44,74,1,10,0.00168,0.0001295065392921809,12,21,2,4.1555
45,76,1,10,0.0011,0.00010482370857825438,12,11,2,3.6544999999999996
46,77,1,10,0.00136,0.0001165402926733847,12,16,2,4.4354
47,78,1,10,0.00126,0.00011217954288772272,12,19,2,4.016
48,79,1,10,0.00158,0.00012559933818272103,12,16,2,3.7783999999999995
49,85,1,10,0.00165,0.0001283469506042013,12,23,5,7.0331
50,86,1,10,0.00159,0.0001259955465434294,12,20,5,6.779299999999999
51,87,1,11,0.001,9.995048724743172e-05,13,24,3,2.4758999999999998
52,89,1,10,0.00202,0.00014198379342015037,12,21,4,6.016
53,90,1,10,0.00264,0.0001622669630752762,12,38,10,13.0384
54,94,1,10,0.00136,0.00011654029267338469,12,23,4,6.1231
55,98,1,10,0.00137,0.0001169673792716505,12,22,4,6.0331
56,99,1,10,0.0016,0.00012639050496614628,12,18,2,3.8855
57,101,1,10,0.00173,0.0001314162992266828,12,20,6,7.6407
58,102,1,10,0.00139,0.00011781688252613917,12,23,4,6.1555
59,103,1,10,0.00151,0.0001227898602226492,12,20,5,6.835999999999999
60,104,1,10,0.00139,0.00011781688252613917,12,22,4,6.0574
61,107,1,10,0.00178,0.00013329851343858582,12,25,5,7.286
62,110,1,10,0.0016,0.0001263905049661463,12,21,3,5.0736
63,112,1,10,0.00157,0.0001252018680175242,12,24,6,8.0088
64,114,1,10,0.00146,0.0001207428249971727,12,18,2,5.123899999999999
65,115,1,10,0.00177,0.0001329242178403803,12,27,5,7.449800000000001
66,117,1,10,0.00159,0.0001259955465434294,12,21,2,4.1798
67,119,1,10,0.0015,0.00012238320871956973,12,29,3,5.6478
68,121,1,10,0.00133,0.00011524948513741068,12,19,3,4.8774
69,122,1,10,0.00146,0.0001207428249971727,12,21,4,5.9431
70,123,1,10,0.00127,0.00011262325621281956,12,22,2,4.205
71,126,1,10,0.00131,0.00011438081058332423,12,20,4,5.8774
72,128,1,11,0.00112,0.00010577129986758579,13,18,2,1.9716
73,130,1,11,0.00099,9.944997688777525e-05,13,27,2,2.3775
82,153,1,11,0.00104,0.00010192785631454694,13,33,1,2.5509
86,165,1,11,0.00109,0.00010434667163967822,13,28,5,3.3882
89,173,1,12,0.00125,0.00011173405857212229,14,81,18,2.1303
154,286,1,11,0.00138,0.00011739290357997842,13,28,4,2.9181
156,293,1,11,0.00109,0.00010434667163967822,13,26,3,2.5524
157,294,1,11,0.00117,0.00010810378283981854,13,27,2,2.3613
163,304,1,11,0.00112,0.0001057712998675858,13,27,2,2.3775
167,312,1,11,0.00135,0.00011611162654574344,13,27,2,2.4648
168,313,1,12,0.00117,0.00010810378283981854,14,62,13,1.8314999999999997
171,318,1,11,0.00124,0.00011128678199803637,13,28,3,2.8035
174,323,1,11,0.00111,0.00010529857490915428,13,24,3,2.4758999999999998
177,328,1,11,0.00118,0.00010856423841182056,13,26,2,2.2713
178,330,1,11,0.00092,9.587297802967819e-05,13,24,3,2.4758999999999998
181,339,1,11,0.0011,0.00010482370857825435,13,27,3,2.6892
182,340,1,11,0.00124,0.00011128678199803637,13,31,6,3.7907999999999995
184,345,1,11,0.00084,9.161347024471511e-05,13,21,3,2.2931999999999997
186,348,1,11,0.00106,0.0001029022346147006,13,24,3,2.4758999999999998
187,352,1,11,0.00106,0.00010290223461470062,13,24,3,2.4758999999999998
191,359,1,11,0.00122,0.00011038676484243264,13,27,2,2.2676999999999996
193,363,1,11,0.00102,0.00010094403348875539,13,25,4,2.8227
194,365,1,11,0.0013,0.00011394397672671569,13,32,4,2.9487
195,366,1,11,0.00126,0.00011217954288772272,13,34,2,2.3063999999999996
196,368,1,11,0.00126,0.00011217954288772272,13,31,2,2.5322999999999998
198,375,1,11,0.00129,0.0001135054528860986,13,37,3,2.9366999999999996
199,377,1,11,0.00094,9.690850278783138e-05,13,33,1,2.5509
214,400,1,11,0.00098,9.894692468661695e-05,13,33,1,2.5509
218,407,1,11,0.00121,0.00010993397952770812,13,33,1,2.5509
223,428,1,11,0.00124,0.00011128678199803637,13,24,4,2.6939999999999995
225,430,1,11,0.00097,9.844129167620196e-05,13,21,3,2.2931999999999997
229,446,1,12,0.00102,0.00010094403348875539,14,80,20,2.2859999999999996
230,447,1,11,0.00095,9.74221222859526e-05,13,21,3,2.2931999999999997
234,453,1,11,0.00103,0.0001014371425807083,13,21,3,2.2931999999999997
239,462,1,11,0.00112,0.00010577129986758579,13,24,3,2.4758999999999998
240,463,1,11,0.00123,0.00011083769146792301,13,28,4,2.5482
250,476,1,11,0.00095,9.74221222859526e-05,13,27,3,2.5181999999999998
251,482,1,11,0.001,9.995048724743172e-05,13,24,3,2.4758999999999998
254,486,1,11,0.001,9.995048724743172e-05,13,31,3,2.8907999999999996
257,494,1,11,0.00107,0.00010338596561709362,13,25,2,2.5206
278,540,1,11,0.00108,0.00010386743418626863,13,33,1,2.5509
279,543,1,11,0.00115,0.00010717690921508551,13,28,3,2.7017999999999995
282,550,1,11,0.00114,0.00010671043937299999,13,33,1,2.5509
285,556,1,11,0.00107,0.00010338596561709365,13,33,1,2.5509
294,579,1,11,0.00116,0.00010764134831280526,13,24,2,2.1237
296,582,1,11,0.00111,0.00010529857490915428,13,21,3,2.2931999999999997
303,594,1,12,0.00116,0.00010764134831280526,14,59,14,1.8702
307,603,1,11,0.00112,0.00010577129986758579,13,23,2,2.0967
312,615,1,11,0.00113,0.0001062419120377581,13,24,2,2.3675999999999995
317,624,1,11,0.00123,0.00011083769146792301,13,27,3,2.8251
318,626,1,11,0.00104,0.00010192785631454694,13,24,3,2.4758999999999998
319,627,1,11,0.00094,9.690850278783138e-05,13,24,3,2.4758999999999998
324,635,1,11,0.00096,9.793303788200938e-05,13,24,3,2.4758999999999998
339,658,1,11,0.00104,0.00010192785631454694,13,33,1,2.4006
340,659,1,11,0.00115,0.00010717690921508551,13,33,1,2.5509
342,662,1,12,0.00092,9.587297802967819e-05,14,70,14,2.016
343,664,1,11,0.00123,0.00011083769146792301,13,33,1,2.5509
349,676,1,11,0.00115,0.00010717690921508551,13,33,1,2.5509
350,678,1,11,0.001,9.995048724743174e-05,13,33,1,2.5509
352,681,1,11,0.00176,0.00013254885775440282,13,37,2,2.5646999999999998
353,682,1,11,0.00113,0.00010624191203775808,13,33,1,2.5509
361,696,1,11,0.00117,0.00010810378283981854,13,27,3,2.4534
363,698,1,11,0.00118,0.00010856423841182056,13,33,1,2.5509
391,748,1,12,0.00111,0.00010529857490915428,14,68,10,1.6722
405,773,1,12,0.0008,8.940738189209751e-05,14,70,14,2.016
406,781,1,12,0.00114,0.00010671043937299996,14,70,14,2.016
410,787,1,12,0.00093,9.63921361649338e-05,14,70,12,1.8900000000000001
446,851,1,12,0.00099,9.944997688777525e-05,14,70,14,2.016
449,856,1,12,0.00098,9.894692468661695e-05,14,70,15,2.1167999999999996
461,875,1,12,0.00117,0.00010810378283981851,14,70,14,2.016
469,889,1,12,0.001,9.99504872474317e-05,14,70,14,2.016
515,974,1,12,0.00112,0.0001057712998675858,14,70,14,2.016
520,980,1,12,0.00117,0.00010810378283981854,14,70,14,2.016
521,981,1,12,0.0011,0.00010482370857825438,14,70,14,2.016
525,987,1,12,0.00096,9.793303788200938e-05,14,70,14,2.016
529,994,1,12,0.00116,0.00010764134831280523,14,66,15,2.0465999999999998
584,1095,1,12,0.00129,0.00011350545288609861,14,68,17,2.1888
591,1110,1,12,0.00112,0.0001057712998675858,14,70,14,2.016
592,1112,1,12,0.00122,0.00011038676484243264,14,63,16,2.0475
597,1119,1,12,0.00096,9.793303788200938e-05,14,68,10,1.6911
598,1123,1,12,0.00099,9.944997688777525e-05,14,58,12,1.6604999999999999
600,1129,1,12,0.00099,9.944997688777525e-05,14,70,14,2.016
