idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
0,4,1,8,0.00658,0.00025567105756596064,10,18,5,8.022989
1,16,1,8,0.00742,0.00027138565271901357,10,23,9,10.293858
2,51,1,8,0.00681,0.0002600709814053727,10,18,6,8.925618
3,61,1,8,0.0073,0.0002691984856537027,10,19,6,9.006789
4,65,1,8,0.00686,0.00026101740421062536,10,18,7,9.411648999999999
5,72,1,8,0.00618,0.00024782794472557343,10,18,5,8.022989
6,75,1,8,0.00623,0.0002488222058516909,10,19,5,8.104160000000002
7,78,1,8,0.00619,0.00024802712386862396,10,18,5,8.022989
8,84,1,8,0.00582,0.00024054491185337127,10,18,5,8.022989
9,87,1,8,0.00733,0.00026974699003767653,10,19,7,9.49282
10,91,1,8,0.00667,0.0002574019688303405,10,18,5,8.022989
11,93,1,8,0.00613,0.0002468295773370818,10,19,4,6.998848
12,105,1,8,0.00816,0.0002844906911474143,10,23,9,10.293858
13,107,1,8,0.0073,0.0002691984856537027,10,21,8,9.228886999999999
14,109,1,8,0.0087,0.00029367322390647793,10,21,11,11.950058
15,111,1,8,0.00752,0.0002731945137670658,10,23,9,10.293858
16,112,1,8,0.00805,0.0002825823305299453,10,23,9,10.293858
17,115,1,8,0.00731,0.00026938144825441597,10,23,8,9.391229
18,122,1,8,0.00789,0.0002797825258707517,10,23,8,9.391229
19,124,1,8,0.00674,0.0002587400113317124,10,28,8,9.8162
20,125,1,8,0.00817,0.00028466352301131475,10,23,9,10.293858
21,133,1,8,0.00857,0.00029148996666095845,10,21,10,11.047429
22,146,1,8,0.00631,0.00025040460463949193,10,19,5,7.70306
23,167,1,8,0.00675,0.00025893058036943897,10,21,6,7.423628999999999
24,186,1,8,0.00892,0.00029733015328452727,10,18,12,12.622457999999998
25,188,1,8,0.00721,0.0002675460237206826,10,18,6,8.925618
26,199,1,8,0.0057,0.00023806651750438905,10,19,4,7.172749
27,208,1,8,0.0063,0.0002502073660731442,10,18,5,8.022989
28,217,1,8,0.00625,0.00024921877156418407,10,20,5,8.345947999999996
29,224,1,8,0.00849,0.0002901379685604902,10,17,10,10.736029
30,227,1,8,0.00777,0.00027766354094554746,10,15,7,9.234718
31,228,1,8,0.00921,0.0003020805712499816,10,17,10,10.736029
32,229,1,8,0.00687,0.0002612062657884241,10,23,6,7.572687
33,232,1,8,0.00741,0.0002712040827800075,10,17,5,7.578518000000001
34,242,1,8,0.00746,0.0002721106841751062,10,19,5,8.075377999999999
35,247,1,8,0.00573,0.00023868858523693002,10,17,5,7.752419
36,248,1,8,0.00594,0.00024299743718307973,10,19,4,6.998848
37,252,1,8,0.00557,0.00023535144975769535,10,19,4,6.998848
38,256,1,8,0.00633,0.00025079860446063085,10,19,4,6.998848
39,258,1,8,0.0063,0.0002502073660731442,10,15,6,8.158188
40,259,1,8,0.00758,0.0002742739292420674,10,19,7,9.909418
