idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
0,0,1,10,0.002073,4.548301594776605e-05,12,33,7,7.2653
1,1,1,10,0.00211,0.00014510578746864498,12,36,7,7.2947
2,1,1,10,0.00222,0.00014883191025238872,12,30,8,8.2256
3,1,1,10,0.001811,4.251731514009424e-05,12,30,5,5.2564
4,1,1,10,0.0022,0.00014816146434952368,12,34,8,8.2651
5,1,1,10,0.0021,0.0001447622518514257,12,28,7,7.2165
6,1,1,10,0.002314487275373451,0.00015276929834210682,12,32,8,8.2459
7,1,1,10,0.001737,4.1641140293999694e-05,12,32,4,4.2860000000000005
8,1,1,10,0.00219,0.00014782509097773362,12,31,8,8.2354
9,1,1,10,0.001811,4.251731514009425e-05,12,33,5,5.2857
10,1,1,10,0.00183,0.000135154332771601,12,30,6,6.2461
11,1,1,10,0.00214,0.00014613150770513333,12,32,9,9.2354
12,1,1,10,0.00225,0.00014983190413258104,12,38,8,8.3048
13,1,1,10,0.00228,0.00015082520837855597,12,40,8,8.3248
14,1,1,10,0.00221,0.00014849706904109298,12,29,8,8.2161
15,1,1,10,0.00189,0.00013734798012594306,12,33,5,5.2857
16,1,1,10,0.0022,0.00014816146434952368,12,30,7,7.2357000000000005
17,1,1,10,0.00222,0.00014883191025238872,12,33,7,7.2654
18,1,1,10,0.0023230571025695647,0.00015333429990007356,12,30,9,9.2154
19,1,1,10,0.002597196388876287,0.00017140552012715924,12,40,11,11.2943
20,1,1,10,0.00204,0.0001426835224750071,12,34,7,7.274800000000001
21,1,1,10,0.00223,0.00014916599312489107,12,31,11,11.2053
22,1,1,10,0.00221,0.000148497069041093,12,36,8,8.2854
23,1,1,10,0.00232392936878425,0.00015339180741253455,12,34,4,4.3054
24,1,1,10,0.00187,0.00013662070725983127,12,31,8,8.2354
25,1,1,10,0.002403240701872219,0.00015862050318206692,12,36,8,8.2854
26,1,1,10,0.002,0.00014128057050421343,12,34,6,6.285200000000001
27,1,1,10,0.0023614820620172627,0.00015586756591238885,12,37,8,8.2958
28,1,1,10,0.00186,0.00013625560412656998,12,34,7,7.2746
29,1,1,10,0.00225,0.00014983190413258104,12,34,7,7.274800000000001
30,1,1,10,0.00216,0.0001468113058847831,12,33,7,7.266
31,1,1,10,0.00217,0.00014715001709573571,12,36,8,8.285
32,1,1,10,0.00205,0.00014303209283862068,12,31,8,8.2356
