idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
0,0,1,12,0.001296,3.5976682425171984e-05,14,73,16,16.57
1,1,1,12,0.00119,0.00010902274010305646,14,74,20,20.54
2,1,1,12,0.0011,0.00010482370857825435,14,75,17,17.58
3,1,1,12,0.00123,0.00011083769146792301,14,79,14,14.65
4,1,1,12,0.00133,0.00011524948513741068,14,68,17,17.51
5,1,1,12,0.00142,0.00011907971195706678,14,74,19,19.55
6,1,1,12,0.001235,3.512087710288581e-05,14,73,13,13.6
7,1,1,12,0.00135,0.00011611162654574344,14,74,19,19.55
8,1,1,12,0.0011,0.00010482370857825435,14,77,19,19.58
9,1,1,12,0.00107,0.00010338596561709362,14,75,19,19.56
10,1,1,12,0.0016489216489216489,0.00013407739494717167,14,72,22,22.5
11,1,1,12,0.0012,0.00010947931246221165,14,80,14,14.66
12,1,1,12,0.00106,0.00010290223461470062,14,78,17,17.61
13,1,1,12,0.00113,0.0001062419120377581,14,71,20,20.51
14,1,1,12,0.00112,0.0001057712998675858,14,76,17,17.59
15,1,1,12,0.00107,0.00010338596561709362,14,70,15,15.55
16,1,1,12,0.00122,0.00011038676484243266,14,79,16,16.63
17,1,1,12,0.00144,0.00011991416844592613,14,75,14,14.61
18,1,1,12,0.00138,0.00011739290357997842,14,66,18,18.48
19,1,1,12,0.00122,0.00011038676484243264,14,73,17,17.56
20,1,1,12,0.00106,0.0001029022346147006,14,84,22,22.62
21,1,1,12,0.00119,0.00010902274010305648,14,73,16,16.57
22,1,1,12,0.00113,0.0001062419120377581,14,75,18,18.57
23,1,1,12,0.00142,0.00011907971195706678,14,68,18,18.5
24,1,1,12,0.00111,0.00010529857490915428,14,70,17,17.53
25,1,1,12,0.00141,0.00011866027053145472,14,69,17,17.52
26,1,1,12,0.00126,0.00011217954288772273,14,68,18,18.5
27,1,1,12,0.00125,0.00011173405857212229,14,79,19,19.6
28,1,1,12,0.001157,3.399503650038497e-05,14,74,17,17.57
29,1,1,12,0.00135,0.00011611162654574342,14,70,19,19.51
30,1,1,12,0.00125,0.00011173405857212229,14,74,17,17.57
31,1,1,12,0.00138,0.00011739290357997842,14,76,24,24.52
32,1,1,12,0.00113,0.00010624191203775808,14,71,17,17.54
33,1,1,12,0.00118,0.00010856423841182056,14,72,17,17.55
34,1,1,12,0.00136,0.0001165402926733847,14,69,17,17.52
35,1,1,12,0.00138,0.00011739290357997842,14,74,19,19.55
36,1,1,12,0.00115,0.00010717690921508551,14,77,15,15.620000000000001
37,1,1,12,0.00125,0.00011173405857212229,14,72,15,15.57
38,1,1,12,0.001136,3.368546628311144e-05,14,74,14,14.6
39,1,1,12,0.00129,0.0001135054528860986,14,81,20,20.61
40,1,1,12,0.0013,0.00011394397672671569,14,78,25,25.53
41,1,1,12,0.00129,0.00011350545288609861,14,73,19,19.54
42,1,1,12,0.00135,0.00011611162654574344,14,72,22,22.5
43,1,1,12,0.00135,0.00011611162654574344,14,87,20,20.67
44,1,1,12,0.0043583674883103385,0.00035391026913816497,14,86,29,29.57
45,1,1,12,0.00127,0.00011262325621281956,14,72,16,16.56
46,1,1,12,0.00135,0.00011611162654574344,14,73,22,22.51
47,1,1,12,0.0014,0.0001182393327340697,14,79,16,16.63
48,1,1,12,0.00117,0.00010810378283981851,14,80,23,23.57
49,1,1,12,0.00122,0.00011038676484243264,14,76,23,23.53
50,1,1,12,0.00119,0.00010902274010305648,14,68,18,18.5
51,2,1,12,0.00115,0.00010717690921508551,14,77,16,16.61
52,2,1,12,0.00126,0.00011217954288772272,14,75,17,17.58
53,2,1,12,0.00113,0.0001062419120377581,14,76,18,18.58
54,2,1,12,0.0014592942128865266,0.00012458557945990573,14,74,17,17.57
55,2,1,12,0.00106,0.00010290223461470062,14,67,19,19.48
56,2,1,12,0.00107,0.00010338596561709362,14,82,23,23.59
57,2,1,12,0.0011,0.00010482370857825438,14,77,14,14.63
58,2,1,12,0.00093,9.63921361649338e-05,14,74,16,16.58
59,2,1,12,0.00129,0.0001135054528860986,14,77,17,17.6
60,2,1,12,0.0015813105255260455,0.00013499439459029727,14,76,18,18.58
61,2,1,12,0.00101,0.00010044849376172343,14,73,14,14.59
62,2,1,12,0.00131,0.00011438081058332422,14,85,19,19.66
63,2,1,12,0.00121,0.00010993397952770812,14,76,14,14.620000000000001
64,2,1,12,0.00124,0.00011128678199803637,14,69,18,18.51
65,2,1,12,0.00121,0.00010993397952770812,14,74,14,14.6
66,2,1,12,0.00116,0.00010764134831280526,14,74,14,14.6
67,2,1,12,0.00114,0.00010671043937299996,14,74,17,17.57
68,2,1,12,0.00134,0.0001156813633295278,14,76,13,13.63
69,2,1,12,0.00106,0.00010290223461470062,14,72,17,17.55
