L,N,n_failures,MC_budget,Logical error rate,d,Valid neighbors,
1 initial,,1186,1E+05,,5,,
1,13,802,1E+05,,8,6,
1,17,661,1E+05,,8,,
1,30,708,1E+05,,8,,
1,35,778,1E+05,,8,,
1,40,853,1E+05,,8,,
1,42,758,1E+05,,8,,
2 initial,,661,1E+05,,8,,
2,4,582,1E+05,,8,11,
2,5,587,1E+05,,8,,
2,12,597,1E+05,,8,,
2,13,592,1E+05,,8,,
2,14,652,1E+05,,8,,
2,15,622,1E+05,,8,,
2,30,659,1E+05,,8,,
2,40,689,1E+05,,8,,
2,41,629,1E+05,,8,,
2,43,649,1E+05,,8,,
2,48,778,1E+05,,8,,
3 initial,,582,1E+05,,8,,
3,1,611,1E+05,,8,14,
3,2,576,1E+05,,8,,
3,3,589,1E+05,,8,,
3,8,581,1E+05,,8,,
3,16,594,1E+05,,8,,
3,23,600,1E+05,,8,,
3,26,594,1E+05,,8,,
3,30,648,1E+05,,8,,
3,35,699,1E+05,,8,,
3,37,607,1E+05,,8,,
3,39,627,1E+05,,8,,
3,42,584,1E+05,,8,,
3,45,602,1E+05,,8,,
3,48,561,1E+05,,8,,
4 initial,,561,1E+05,,8,,
4,8,613,1E+05,,8,9,
4,9,561,1E+05,,8,,
4,16,586,1E+05,,8,,
4,17,521,1E+05,,8,,
4,20,555,1E+05,,8,,
4,22,596,1E+05,,8,,
4,30,696,1E+05,,8,,
4,38,519,1E+05,,8,,
4,47,556,1E+05,,8,,
5 initial,,519,1E+05,,8,,
5,1,612,1E+05,,8,6,
5,7,546,1E+05,,8,,
5,25,570,1E+05,,8,,
5,34,542,1E+05,,8,,
5,42,612,1E+05,,8,,
5,46,590,1E+05,,8,,
6 initial,,542,1E+05,,8,,
6,3,467,1E+05,,8,5,
6,23,590,1E+05,,8,,
6,29,545,1E+05,,8,,
6,31,544,1E+05,,8,,
6,34,569,1E+05,,8,,
7 initial,,467,1E+05,,8,,
7,4,409,1E+05,,8,6,
7,20,463,1E+05,,8,,
7,29,563,1E+05,,8,,
7,33,449,1E+05,,8,,
7,39,549,1E+05,,8,,
7,40,624,1E+05,,8,,
8 initial,,409,1E+05,,8,,
8,8,416,1E+05,,8,7,
8,9,495,1E+05,,8,,
8,11,490,1E+05,,8,,
8,27,403,1E+05,,8,,
8,29,385,1E+05,,8,,
8,43,472,1E+05,,8,,
8,48,417,1E+05,,8,,
9 initial,,385,1E+05,,8,,
9,13,408,1E+05,,8,6,
,18,380,1E+05,,8,,
,29,468,1E+05,,8,,
,37,444,1E+05,,8,,
,44,499,1E+05,,8,,
,47,421,1E+05,,8,,
10 initial,,380,1E+05,,8,,
10,3,479,1E+05,,8,10,
10,13,750,1E+05,,8,,
10,19,375,1E+05,,8,,
10,20,442,1E+05,,8,,
10,23,493,1E+05,,8,,
10,235,438,1E+05,,8,,
10,30,516,1E+05,,8,,
10,39,387,1E+05,,8,,
10,44,364,1E+05,,8,,
10,45,353,1E+05,,8,,
