distances_classical,distances_Hx,distances_Hz,distances_quantum,logical_error_rates,max_row_weight_H,max_row_weight_HT,k_classical,k_classical_T,k_quantum
6,6,6,6,0.02224,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,8,7,7,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,10,10,10,0.01103,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,10,8,8,0.0115,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,8,8,8,0.01263,5,3,7,0,49
8,8,8,8,0.00459,5,3,7,0,49
6,9,8,8,0.01121,5,3,7,0,49
6,8,8,8,0.0132,5,3,7,0,49
6,10,7,7,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,10,10,10,0.01101,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
4,4,4,4,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,10,10,10,0.0107,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,8,8,8,0.01239,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,8,1,65
6,10,10,10,0.011,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,8,8,8,0.01587,5,3,8,1,65
6,6,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00459,5,3,7,0,49
8,8,8,8,0.00586,5,3,7,0,49
6,10,10,10,0.0135,5,3,7,0,49
8,8,8,8,0.00409,5,3,7,0,49
7,6,7,6,0.0,5,3,7,0,49
8,8,8,8,0.00487,5,3,7,0,49
8,8,10,8,0.00457,5,3,7,0,49
8,10,10,10,0.00356,5,3,7,0,49
8,8,8,8,0.00402,5,3,7,0,49
6,9,7,7,0.0,5,3,7,0,49
8,8,8,8,0.00581,5,3,7,0,49
8,10,10,10,0.00401,5,3,7,0,49
8,8,8,8,0.0065,5,3,7,0,49
8,10,10,10,0.00364,5,3,7,0,49
8,10,8,8,0.00492,5,3,7,0,49
8,8,8,8,0.00414,5,3,7,0,49
8,10,10,10,0.00502,5,3,7,0,49
8,8,8,8,0.00506,5,3,7,0,49
8,8,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00457,5,3,7,0,49
6,10,8,8,0.01299,5,3,7,0,49
8,10,10,10,0.00541,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
6,10,10,10,0.01157,5,3,7,0,49
10,10,10,10,0.00307,5,3,7,0,49
8,8,8,8,0.00574,5,3,7,0,49
7,8,7,7,0.0,5,3,7,0,49
8,10,8,8,0.0038,5,3,7,0,49
8,8,8,8,0.00538,5,3,7,0,49
6,10,10,10,0.02041,5,3,7,0,49
5,5,5,5,0.0,5,3,7,0,49
8,8,8,8,0.00408,5,3,7,0,49
8,10,10,10,0.00407,5,3,7,0,49
8,8,8,8,0.00603,5,3,7,0,49
8,8,8,8,0.00424,5,3,7,0,49
8,8,8,8,0.00573,5,3,7,0,49
6,8,8,8,0.01222,5,3,7,0,49
8,8,8,8,0.00491,5,3,7,0,49
8,10,8,8,0.0059,5,3,7,0,49
8,10,8,8,0.00485,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,10,10,10,0.00373,5,3,7,0,49
8,8,8,8,0.00445,5,3,7,0,49
6,10,9,9,0.01098,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
10,10,10,10,0.00348,5,3,7,0,49
8,8,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,8,8,8,0.00437,5,3,7,0,49
8,10,10,10,0.00505,5,3,7,0,49
10,10,10,10,0.00307,5,3,7,0,49
10,10,10,10,0.00305,5,3,7,0,49
10,10,10,10,0.00271,5,3,7,0,49
6,6,8,6,0.0,5,3,7,0,49
6,10,8,8,0.01117,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,7,6,6,0.0,5,3,7,0,49
7,8,8,8,0.0052,5,3,7,0,49
10,10,10,10,0.00285,5,3,7,0,49
8,10,10,10,0.00503,5,3,7,0,49
8,10,8,8,0.00433,5,3,7,0,49
8,8,8,8,0.00377,5,3,7,0,49
8,8,8,8,0.00409,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00268,5,3,7,0,49
8,8,8,8,0.00545,5,3,7,0,49
9,10,10,10,0.00306,5,3,7,0,49
10,10,10,10,0.00276,5,3,7,0,49
4,4,4,4,0.0,5,3,7,0,49
8,8,8,8,0.0033,5,3,7,0,49
8,8,8,8,0.0044,5,3,7,0,49
7,8,8,8,0.00453,5,3,7,0,49
8,10,10,10,0.00518,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,10,10,10,0.00318,5,3,7,0,49
8,10,8,8,0.00411,5,3,7,0,49
8,10,10,10,0.00468,5,3,7,0,49
8,10,10,10,0.00349,5,3,7,0,49
8,10,10,10,0.00404,5,3,7,0,49
10,10,10,10,0.00273,5,3,7,0,49
8,8,8,8,0.00497,5,3,7,0,49
8,8,8,8,0.00438,5,3,7,0,49
7,7,6,6,0.0,5,3,7,0,49
8,10,8,8,0.00326,5,3,7,0,49
10,10,10,10,0.00276,5,3,7,0,49
10,10,10,10,0.00278,5,3,7,0,49
8,8,8,8,0.0033,5,3,7,0,49
8,8,8,8,0.00303,5,3,7,0,49
5,5,5,5,0.0,5,3,7,0,49
5,5,5,5,0.0,5,3,7,0,49
8,8,8,8,0.00555,5,3,7,0,49
10,6,10,6,0.0,5,3,7,0,49
7,9,7,7,0.0,5,3,7,0,49
6,10,10,10,0.01111,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
8,10,10,10,0.0041,5,3,7,0,49
10,10,10,10,0.00296,5,3,7,0,49
8,10,10,10,0.00509,5,3,7,0,49
8,10,10,10,0.00352,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00268,5,3,7,0,49
8,10,10,10,0.00363,5,3,7,0,49
8,8,8,8,0.00563,5,3,7,0,49
10,10,10,10,0.00274,5,3,7,0,49
8,10,10,10,0.00365,5,3,7,0,49
