distances_classical,distances_Hx,distances_Hz,distances_quantum,logical_error_rates,max_row_weight_H,max_row_weight_HT,k_classical,k_classical_T,k_quantum
6.0,6.0,6.0,6.0,0.02154,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,7.0,8.0,7.0,0.0,5,3,8,1,65
6.0,10.0,10.0,10.0,0.01514,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,7,0,49
6.0,10.0,10.0,10.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,10.0,10.0,10.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,7.0,8.0,7.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,10.0,10.0,10.0,0.0,5,3,7,0,49
8.0,7.0,10.0,7.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,8.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,8.0,8.0,8.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,8,1,65
6.0,10.0,6.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,7.0,8.0,7.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,7,0,49
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
6.0,10.0,10.0,10.0,0.01573,5,3,8,1,65
6.0,10.0,8.0,8.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,7.0,8.0,7.0,0.0,5,3,8,1,65
7.0,9.0,9.0,9.0,0.0,5,3,7,0,49
7.0,9.0,7.0,7.0,0.0,5,3,7,0,49
8.0,10.0,10.0,10.0,0.0,5,3,7,0,49
8.0,8.0,8.0,8.0,0.0,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,10.0,10.0,10.0,0.00864,5,3,8,1,65
7.0,7.0,8.0,7.0,0.0,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,8,1,65
6.0,9.0,9.0,9.0,0.0,5,3,7,0,49
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,10.0,10.0,10.0,0.01039,5,3,8,1,65
6.0,6.0,10.0,6.0,0.0,5,3,7,0,49
6.0,6.0,10.0,6.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,9.0,6.0,0.0,5,3,7,0,49
6.0,10.0,10.0,10.0,0.01389,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,10.0,10.0,10.0,0.00785,5,3,8,1,65
6.0,6.0,8.0,6.0,0.0,5,3,8,1,65
6.0,10.0,10.0,10.0,0.0,5,3,7,0,49
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,10.0,8.0,8.0,0.0,5,3,7,0,49
8.0,8.0,7.0,7.0,0.0,5,3,8,1,65
6.0,7.0,8.0,7.0,0.0,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
6.0,10.0,10.0,10.0,0.0,5,3,7,0,49
6.0,10.0,8.0,8.0,0.0,5,3,8,1,65
6.0,10.0,10.0,10.0,0.0213,5,3,8,1,65
4.0,4.0,4.0,4.0,0.0,5,3,8,1,65
6.0,8.0,7.0,7.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
6.0,6.0,6.0,6.0,0.0,5,3,7,0,49
6.0,10.0,10.0,10.0,0.0,5,3,7,0,49
6.0,10.0,10.0,10.0,0.0,5,3,7,0,49
8.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,7,0,49
6.0,10.0,10.0,10.0,0.02274,5,3,8,1,65
6.0,10.0,10.0,10.0,0.02274,5,3,8,1,65
8.0,8.0,10.0,8.0,0.0,5,3,7,0,49
6.0,6.0,6.0,6.0,0.0,5,3,8,1,65
8.0,10.0,8.0,8.0,0.0,5,3,8,1,65
6.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,10.0,8.0,8.0,0.0,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,10.0,10.0,10.0,0.0074,5,3,8,1,65
8.0,7.0,7.0,7.0,0.0,5,3,8,1,65
8.0,10.0,10.0,10.0,0.00764,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,7,0,49
8.0,7.0,10.0,7.0,0.0,5,3,7,0,49
8.0,7.0,8.0,7.0,0.0,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,7,0,49
4.0,4.0,4.0,4.0,0.0,5,3,8,1,65
8.0,8.0,8.0,8.0,0.0,5,3,7,0,49
8.0,8.0,6.0,6.0,0.0,5,3,7,0,49
8.0,8.0,8.0,8.0,0.0,5,3,7,0,49
8.0,10.0,10.0,10.0,0.0,5,3,7,0,49
8.0,10.0,10.0,10.0,0.0,5,3,7,0,49
6.0,8.0,6.0,6.0,0.0,5,3,8,1,65
8.0,10.0,10.0,10.0,0.0,5,3,7,0,49
8.0,8.0,8.0,8.0,0.0,5,3,7,0,49
8.0,8.0,7.0,7.0,0.0,5,3,7,0,49
7.0,10.0,9.0,9.0,0.0,5,3,7,0,49
8.0,10.0,8.0,8.0,0.0,5,3,7,0,49
8.0,9.0,9.0,9.0,0.0,5,3,7,0,49
8.0,8.0,8.0,8.0,0.0,5,3,8,1,65
8.0,7.0,8.0,7.0,0.0,5,3,8,1,65
8.0,8.0,10.0,8.0,0.0,5,3,7,0,49
