method,C,code_family,step,metric,median,q25,q75,min,max,n_runs_available
beam,0,"[625,25]",0.0,best_distance_so_far,6.0,6.0,6.0,6.0,6.0,10
beam,0,"[625,25]",1.0,best_distance_so_far,8.0,8.0,8.0,8.0,8.0,10
beam,0,"[625,25]",2.0,best_distance_so_far,8.0,8.0,8.0,8.0,8.0,10
beam,0,"[625,25]",3.0,best_distance_so_far,8.0,8.0,8.0,8.0,8.0,10
beam,0,"[625,25]",4.0,best_distance_so_far,8.0,8.0,8.0,8.0,9.0,10
beam,0,"[625,25]",5.0,best_distance_so_far,8.5,8.0,9.0,8.0,9.0,10
beam,0,"[625,25]",6.0,best_distance_so_far,8.5,8.0,9.0,8.0,9.0,10
beam,0,"[625,25]",7.0,best_distance_so_far,8.5,8.0,9.0,8.0,9.0,10
beam,0,"[625,25]",8.0,best_distance_so_far,9.0,8.0,9.0,8.0,9.0,10
beam,0,"[625,25]",9.0,best_distance_so_far,9.0,8.0,9.0,8.0,9.0,10
beam,0,"[625,25]",10.0,best_distance_so_far,9.0,8.0,9.0,8.0,9.0,10
beam,0,"[625,25]",11.0,best_distance_so_far,9.0,8.25,9.0,8.0,9.0,10
beam,0,"[625,25]",12.0,best_distance_so_far,9.0,8.25,9.0,8.0,9.0,10
beam,0,"[625,25]",13.0,best_distance_so_far,9.0,8.25,9.0,8.0,9.0,10
beam,0,"[625,25]",14.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",15.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",16.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",17.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",18.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",19.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",20.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",21.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",22.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",23.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",24.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",25.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",26.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",27.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",28.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",29.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",30.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",31.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",32.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",33.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",34.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",35.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",36.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",37.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",38.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",39.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",40.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",41.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",42.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",43.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",44.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",45.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",46.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",47.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",48.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",49.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",50.0,best_distance_so_far,9.0,9.0,9.0,8.0,9.0,10
beam,0,"[625,25]",0.0,best_score_at_best_distance_so_far,1061408010099.9994,1061408010099.9994,1061408010099.9994,1061408010099.9994,1061408010099.9994,10
beam,0,"[625,25]",1.0,best_score_at_best_distance_so_far,51609999999.99997,47773110999.99997,51609999999.99997,47773110999.99997,51609999999.99997,10
beam,0,"[625,25]",2.0,best_score_at_best_distance_so_far,28558250499.999985,28063299999.999985,35052587499.999985,27093000999.999985,37874100999.999985,10
beam,0,"[625,25]",3.0,best_score_at_best_distance_so_far,19242399999.999992,18522100007.49999,27159157749.999985,18272100999.99999,28063299999.999985,10
beam,0,"[625,25]",4.0,best_score_at_best_distance_so_far,18272100999.99999,18272100999.99999,18272100999.99999,11143209999.999996,27280200099.999985,10
beam,0,"[625,25]",5.0,best_score_at_best_distance_so_far,14707655499.999992,11143209999.999996,18272100999.99999,11055000999.999996,25320000099.999985,10
beam,0,"[625,25]",6.0,best_score_at_best_distance_so_far,14707655499.999992,11055000999.999996,18272100999.99999,9282000099.999996,25320000099.999985,10
beam,0,"[625,25]",7.0,best_score_at_best_distance_so_far,14707655499.999992,11055000999.999996,18272100999.99999,9282000099.999996,19964109999.999992,10
beam,0,"[625,25]",8.0,best_score_at_best_distance_so_far,11143209999.999996,11055000999.999996,18272100999.99999,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",9.0,best_score_at_best_distance_so_far,11143209999.999996,9725250324.999996,18272100999.99999,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",10.0,best_score_at_best_distance_so_far,11143209999.999996,9725250324.999996,18272100999.99999,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",11.0,best_score_at_best_distance_so_far,11143209999.999996,9282000099.999996,16489878249.99999,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",12.0,best_score_at_best_distance_so_far,11143209999.999996,9282000099.999996,16489878249.99999,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",13.0,best_score_at_best_distance_so_far,11143209999.999996,9282000099.999996,16489878249.99999,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",14.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",15.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",16.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",17.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",18.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",19.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",20.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",21.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",22.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",23.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",24.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",25.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",26.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",27.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",28.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",29.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",30.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",31.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",32.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",33.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",34.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",35.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",36.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",37.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",38.0,best_score_at_best_distance_so_far,10212605049.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",39.0,best_score_at_best_distance_so_far,10168500549.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",40.0,best_score_at_best_distance_so_far,10168500549.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",41.0,best_score_at_best_distance_so_far,10168500549.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",42.0,best_score_at_best_distance_so_far,10168500549.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
beam,0,"[625,25]",43.0,best_score_at_best_distance_so_far,10168500549.999996,9282000099.999996,11143209999.999996,9282000099.999996,18272100999.99999,10
