
--- LOGICAL GUIDED SEARCH ---
Code family: [1225,65]
Noise level p = 0.03
Search steps = 20
Trials/step = 100
Precision budget = 100000
Score selection: beta=0.3, window=4, top_frac=0.1, min_top=3, max_top=5
Workers = 8
/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/ldpc/code_util/code_util.py:164: UserWarning: This function has exponential complexity. Not recommended for large pcms. Use the                            'ldpc.code_util.estimate_code_distance' function instead.
  warnings.warn(

>>> PHASE 1: Logical-guided search

Step 1/20 (global max dist so far = 6)
Score Info of current state: weight_patterns={6: 2, 7: 0, 8: 4, 9: 0, 10: 22}, score=2.5382
  Target logical weight: 6
  Current distance: 6
  Valid proposal at trial 1/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 11}, score=1.1791
  Valid proposal at trial 2/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 3, 7: 0, 8: 5, 9: 0, 10: 22}, score=3.6282
  Valid proposal at trial 3/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 10}, score=1.171
  Valid proposal at trial 4/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 28}, score=3.3068
  Valid proposal at trial 5/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 4, 9: 0, 10: 25, 11: 0, 12: 67}, score=6.7927
  Valid proposal at trial 6/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 29}, score=3.2249
  Valid proposal at trial 7/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 8/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 19}, score=1.6039
  Valid proposal at trial 9/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 11}, score=1.3591
  Valid proposal at trial 10/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 4, 9: 0, 10: 25, 11: 0, 12: 55}, score=6.6955
  Valid proposal at trial 11/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 5, 9: 0, 10: 20}, score=2.612
  Valid proposal at trial 12/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 7, 9: 0, 10: 20}, score=1.792
  Valid proposal at trial 13/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 14/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 8, 9: 0, 10: 17}, score=1.8577
  Valid proposal at trial 15/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 11}, score=1.3591
  Valid proposal at trial 16/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 5, 9: 0, 10: 21}, score=2.6201
  Valid proposal at trial 17/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 10, 11: 0, 12: 33}, score=3.1673
  Valid proposal at trial 18/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 30}, score=3.233
  Valid proposal at trial 19/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 4, 9: 0, 10: 27}, score=1.5787
  Valid proposal at trial 20/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 7, 9: 0, 10: 20}, score=1.792
  Valid proposal at trial 21/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 7, 9: 0, 10: 19}, score=2.7839
  Valid proposal at trial 22/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 4, 7: 0, 8: 4, 9: 0, 10: 20}, score=4.522
  Valid proposal at trial 23/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 24/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 10, 11: 0, 12: 32}, score=3.1592
  Valid proposal at trial 25/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 11}, score=1.3591
  Valid proposal at trial 26/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 7, 9: 0, 10: 17}, score=1.7677
  Valid proposal at trial 27/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 7}, score=1.3267
  Valid proposal at trial 28/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 4, 9: 0, 10: 25}, score=2.5625
  Valid proposal at trial 29/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 30/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 5, 9: 0, 10: 20, 11: 0, 12: 63}, score=7.3103
  Valid proposal at trial 31/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 8, 9: 0, 10: 19}, score=1.8739
  Valid proposal at trial 32/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 6, 9: 0, 10: 13}, score=1.6453
  Valid proposal at trial 33/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 4, 9: 0, 10: 25, 11: 0, 12: 60}, score=6.736
  Valid proposal at trial 34/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 26}, score=1.3006
  Valid proposal at trial 35/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 36/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 26}, score=1.4806
  Valid proposal at trial 37/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 10}, score=1.351
  Valid proposal at trial 38/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 28}, score=3.3068
  Valid proposal at trial 39/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 4, 9: 0, 10: 24}, score=1.5544
  Valid proposal at trial 40/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 3, 9: 0, 10: 24}, score=2.4644
  Valid proposal at trial 41/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 10}, score=1.351
  Valid proposal at trial 42/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 7, 9: 0, 10: 21}, score=1.8001
  Valid proposal at trial 43/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 11}, score=1.3591
  Valid proposal at trial 44/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 32}, score=3.2492
  Valid proposal at trial 45/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 13}, score=1.3753
  Valid proposal at trial 46/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 28}, score=1.3168
  Valid proposal at trial 47/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 10}, score=1.171
  Valid proposal at trial 48/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 9, 11: 0, 12: 34}, score=3.0854
  Valid proposal at trial 49/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 4, 9: 0, 10: 27}, score=1.5787
  Valid proposal at trial 50/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 23}, score=1.4563
  Valid proposal at trial 51/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 23}, score=1.6363
  Valid proposal at trial 52/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 6, 9: 0, 10: 24}, score=1.7344
  Valid proposal at trial 53/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 6, 9: 0, 10: 19}, score=1.6939
  Valid proposal at trial 54/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 5, 9: 0, 10: 25, 11: 0, 12: 53}, score=7.6793
  Valid proposal at trial 55/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 4, 9: 0, 10: 24}, score=1.5544
  Valid proposal at trial 56/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 6, 9: 0, 10: 20, 11: 0, 12: 58}, score=8.2698
  Valid proposal at trial 57/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 14}, score=1.2034
  Valid proposal at trial 58/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 31}, score=3.2411
  Valid proposal at trial 59/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 60/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 12}, score=1.1872
  Valid proposal at trial 61/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 30}, score=3.233
  Valid proposal at trial 62/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 7}, score=1.3267
  Valid proposal at trial 63/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 30}, score=3.233
  Valid proposal at trial 64/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 21}, score=1.4401
  Valid proposal at trial 65/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 11}, score=1.3591
  Valid proposal at trial 66/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 4, 9: 0, 10: 25}, score=1.5625
  Valid proposal at trial 67/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 5, 9: 0, 10: 24}, score=2.6444
  Valid proposal at trial 68/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 26}, score=1.6606
  Valid proposal at trial 69/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 10}, score=1.171
  Valid proposal at trial 70/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 5, 9: 0, 10: 20}, score=2.612
  Valid proposal at trial 71/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 72/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 7, 9: 0, 10: 22, 11: 0, 12: 52}, score=9.4012
  Valid proposal at trial 73/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 7, 9: 0, 10: 19, 11: 0, 12: 58}, score=9.1798
  Valid proposal at trial 74/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 2, 9: 0, 10: 26}, score=1.3906
  Valid proposal at trial 75/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 76/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 24}, score=1.4644
  Valid proposal at trial 77/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 10}, score=1.351
  Valid proposal at trial 78/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 79/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 23}, score=1.6363
  Valid proposal at trial 80/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 5, 9: 0, 10: 19, 11: 0, 12: 72}, score=7.2932
  Valid proposal at trial 81/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 82/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 2, 9: 0, 10: 21}, score=1.3501
  Valid proposal at trial 83/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 30}, score=3.233
  Valid proposal at trial 84/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 85/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 4, 9: 0, 10: 23}, score=1.5463
  Valid proposal at trial 86/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 87/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 12}, score=1.1872
  Valid proposal at trial 88/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 5, 9: 0, 10: 23, 11: 0, 12: 60}, score=7.556
  Valid proposal at trial 89/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 30}, score=3.323
  Valid proposal at trial 90/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 22}, score=1.6282
  Valid proposal at trial 91/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 6, 9: 0, 10: 18}, score=1.6858
  Valid proposal at trial 92/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 28}, score=3.3068
